date,temperature,wind_speed,wind_direction,precipitation,humidity,dew_point,cloud_cover,surface_pressure,temp_max,temp_min
1947-01-01,8.079166666666667,8.1,56,0.0,59.041666666666664,-0.11666666666666671,33.458333333333336,901.0166666666668,16.9,0.9
1947-01-02,7.845833333333334,7.3,55,0.0,52.416666666666664,-1.9749999999999999,59.708333333333336,899.0166666666668,16.7,0.7
1947-01-03,8.575000000000001,8.1,55,0.0,55.375,-0.22083333333333335,99.75,899.0041666666666,16.2,4.0
1947-01-04,7.629166666666666,5.8,51,9.5,82.5,4.754166666666666,84.58333333333333,899.2791666666667,9.6,5.2
1947-01-05,6.229166666666667,4.2,45,15.6,84.66666666666667,3.8208333333333333,73.625,899.7583333333333,10.4,2.5
1947-01-06,5.9875,6.0,67,3.0,74.54166666666667,1.5166666666666666,13.875,901.7666666666668,13.2,0.8
1947-01-07,6.091666666666666,6.6,53,0.0,58.5,-1.7916666666666667,47.208333333333336,899.1791666666667,14.7,-1.0
1947-01-08,7.745833333333334,7.3,63,0.6000000000000001,65.25,1.4625000000000001,98.20833333333333,900.0916666666667,13.4,3.1
1947-01-09,8.320833333333333,5.5,58,2.1,68.125,2.2375000000000003,98.04166666666667,898.5458333333332,15.7,1.9
1947-01-10,8.9375,6.9,62,5.0,78.41666666666667,5.129166666666666,78.04166666666667,899.4499999999999,14.1,4.2
1947-01-11,6.816666666666666,6.5,54,4.4,82.45833333333333,3.9166666666666665,55.791666666666664,899.525,11.3,1.8
1947-01-12,6.170833333333333,6.5,53,0.9,64.33333333333333,-0.6375000000000001,9.875,897.9166666666666,14.5,-0.8
1947-01-13,5.216666666666667,6.1,61,4.0,70.875,0.1958333333333334,27.708333333333332,898.0583333333334,11.8,0.1
1947-01-14,5.45,5.9,55,0.0,58.625,-2.620833333333333,0.7083333333333334,895.2541666666666,14.5,-1.9
1947-01-15,5.720833333333334,7.1,56,0.0,59.541666666666664,-1.9916666666666665,18.541666666666668,894.5708333333333,13.9,-0.7
1947-01-16,5.979166666666667,8.4,58,0.0,59.958333333333336,-1.6375,54.25,894.5208333333334,14.5,-1.0
1947-01-17,6.458333333333333,7.5,63,0.2,61.958333333333336,-0.5791666666666667,92.875,894.5708333333333,12.5,1.1
1947-01-18,6.229166666666667,6.5,66,3.9000000000000004,74.75,1.8624999999999998,71.125,895.75,12.1,1.9
1947-01-19,5.354166666666667,6.0,58,4.9,76.83333333333333,1.2375,40.375,896.6999999999999,12.5,0.0
1947-01-20,5.933333333333334,6.3,58,0.39999999999999997,69.58333333333333,0.43333333333333335,6.208333333333333,897.4625,13.0,-0.4
1947-01-21,5.8,8.1,54,0.0,58.875,-2.0875,55.708333333333336,895.9916666666667,13.3,-0.6
1947-01-22,6.7375,7.2,27,0.1,59.791666666666664,-0.8958333333333334,33.791666666666664,894.7541666666666,13.9,-0.1
1947-01-23,6.691666666666666,6.9,56,0.0,60.166666666666664,-0.9791666666666666,4.791666666666667,896.3291666666668,13.9,-0.1
1947-01-24,6.520833333333333,6.7,54,0.0,57.041666666666664,-1.7874999999999999,2.75,899.4416666666666,13.9,0.1
1947-01-25,7.029166666666666,5.4,56,0.0,56.708333333333336,-1.445833333333333,67.79166666666667,898.1791666666667,14.2,-0.1
1947-01-26,7.204166666666667,6.2,56,0.0,57.291666666666664,-1.1375,42.791666666666664,899.2583333333333,14.3,0.6
1947-01-27,7.220833333333334,6.3,56,0.0,59.708333333333336,-0.6,80.125,899.3666666666667,14.9,0.9
1947-01-28,7.391666666666667,8.3,54,0.0,64.45833333333333,0.6208333333333332,19.708333333333332,899.6416666666668,14.7,2.0
1947-01-29,7.0874999999999995,6.5,55,0.0,55.875,-1.8333333333333333,0.08333333333333333,897.2875,16.0,-0.6
1947-01-30,6.991666666666667,7.6,56,0.0,51.833333333333336,-3.0208333333333335,17.666666666666668,896.2666666666668,16.4,-0.9
1947-01-31,7.9375,8.0,55,0.0,51.875,-2.2291666666666665,15.666666666666666,895.9416666666666,17.2,0.3
1947-02-01,8.008333333333333,7.7,55,0.0,54.25,-1.5,2.0833333333333335,895.8041666666667,17.1,0.5
1947-02-02,8.833333333333334,9.7,55,0.6000000000000001,51.958333333333336,-1.4083333333333332,66.875,895.4166666666666,18.5,0.6
1947-02-03,10.416666666666666,8.4,59,0.0,59.125,1.8375000000000001,95.20833333333333,897.8375,18.8,3.4
1947-02-04,11.225,9.4,53,1.2,53.75,1.6458333333333333,78.625,900.2375000000001,18.7,6.6
1947-02-05,10.325000000000001,9.8,58,2.5,61.291666666666664,2.783333333333333,97.125,898.9791666666666,17.3,6.0
1947-02-06,9.729166666666666,7.9,60,3.8,71.375,4.316666666666667,30.625,897.7624999999999,17.3,4.6
1947-02-07,9.154166666666667,6.6,55,0.9,58.791666666666664,0.9499999999999998,91.83333333333333,896.1083333333332,17.5,1.7
1947-02-08,7.941666666666666,5.4,34,19.2,83.125,5.133333333333334,98.58333333333333,895.3416666666667,10.6,6.0
1947-02-09,8.612499999999999,7.2,63,6.7,79.33333333333333,5.079166666666667,48.916666666666664,897.5708333333333,15.0,4.4
1947-02-10,8.645833333333334,7.9,273,0.1,69.16666666666667,3.0083333333333333,24.5,897.0666666666666,15.6,2.5
1947-02-11,9.041666666666666,7.2,51,0.0,61.5,1.5208333333333333,69.79166666666667,896.4791666666666,16.3,2.7
1947-02-12,8.683333333333334,7.2,49,0.0,62.041666666666664,1.4041666666666668,9.958333333333334,896.6833333333334,16.2,2.0
1947-02-13,8.991666666666667,5.9,53,0.0,56.125,-0.012500000000000011,65.70833333333333,896.0541666666667,17.6,0.9
1947-02-14,9.091666666666667,5.8,58,1.3,61.5,1.6624999999999999,86.58333333333333,897.4583333333334,16.5,2.2
1947-02-15,9.799999999999999,8.7,54,0.5,65.0,2.9916666666666667,75.5,896.9083333333333,15.9,3.2
1947-02-16,8.262500000000001,7.6,58,0.1,58.0,-0.325,26.708333333333332,897.7375000000001,15.0,1.1
1947-02-17,7.8500000000000005,7.6,45,0.0,51.25,-2.275,2.0833333333333335,897.3458333333333,15.9,0.7
1947-02-18,8.495833333333334,7.1,55,0.0,54.916666666666664,-0.8500000000000001,0.4166666666666667,898.4708333333333,17.4,0.1
1947-02-19,9.237499999999999,7.2,56,0.0,54.375,-0.3166666666666667,31.708333333333332,900.4041666666667,18.2,1.5
1947-02-20,10.041666666666666,8.6,55,0.0,53.541666666666664,0.28750000000000003,69.20833333333333,900.225,18.3,1.6
1947-02-21,10.6125,10.1,61,0.0,52.958333333333336,0.4458333333333333,10.125,899.4166666666666,19.7,2.2
1947-02-22,10.204166666666667,7.1,60,0.9,58.958333333333336,2.058333333333333,77.375,900.2958333333332,17.3,3.1
1947-02-23,8.983333333333333,7.4,53,12.5,79.79166666666667,5.570833333333333,90.33333333333333,897.4333333333334,13.7,6.1
1947-02-24,9.654166666666667,8.5,45,0.0,71.08333333333333,4.3500000000000005,12.75,895.1958333333333,15.9,4.1
1947-02-25,11.012500000000001,9.0,45,0.0,61.666666666666664,3.4416666666666664,46.75,895.7041666666668,18.7,4.3
1947-02-26,11.0375,6.9,58,0.0,56.25,1.8624999999999998,12.0,896.8375,20.1,3.3
1947-02-27,12.554166666666667,9.4,55,0.0,53.541666666666664,2.3291666666666666,79.83333333333333,896.9333333333334,21.3,3.8
1947-02-28,12.445833333333333,7.0,54,0.0,51.666666666666664,1.7416666666666665,8.958333333333334,895.1166666666667,21.2,4.4
1947-03-01,12.737499999999999,8.7,54,0.0,49.208333333333336,1.4208333333333334,2.4583333333333335,893.8000000000001,21.8,4.9
1947-03-02,14.120833333333332,7.9,57,0.0,46.666666666666664,1.6208333333333333,14.0,895.6458333333334,24.3,5.2
1947-03-03,14.012500000000001,10.9,54,11.4,65.20833333333333,7.079166666666667,78.66666666666667,896.3874999999999,19.4,8.1
1947-03-04,12.9,8.0,63,8.1,72.83333333333333,7.845833333333334,46.5,895.1750000000001,19.9,8.0
1947-03-05,12.387500000000001,7.6,55,0.0,65.29166666666667,5.675,11.666666666666666,892.2708333333334,19.4,5.4
1947-03-06,12.6625,7.9,270,0.0,57.833333333333336,4.041666666666667,1.4583333333333333,893.1833333333334,20.1,5.6
1947-03-07,13.258333333333333,7.7,57,0.0,51.5,2.670833333333333,63.416666666666664,893.35,22.4,5.4
1947-03-08,13.320833333333333,9.5,55,0.0,50.458333333333336,2.2333333333333334,16.625,895.0416666666666,22.7,4.4
1947-03-09,14.254166666666668,9.4,55,0.0,46.0,1.4708333333333334,23.791666666666668,897.4416666666666,23.7,5.3
1947-03-10,14.233333333333334,11.0,52,0.0,41.083333333333336,0.3999999999999999,52.208333333333336,897.4541666666668,23.3,4.8
1947-03-11,15.620833333333332,10.1,59,0.1,39.208333333333336,1.1083333333333334,52.75,896.3666666666667,23.7,6.7
1947-03-12,14.154166666666667,9.6,63,0.6000000000000001,56.208333333333336,5.2124999999999995,62.583333333333336,897.9250000000001,21.6,10.5
1947-03-13,14.183333333333332,8.7,48,0.0,58.875,5.708333333333333,13.625,897.5083333333333,21.2,8.0
1947-03-14,14.737499999999999,8.3,270,0.0,51.25,3.9333333333333336,3.7083333333333335,897.3458333333333,22.9,8.1
1947-03-15,14.841666666666667,8.1,58,0.1,44.291666666666664,1.75,15.541666666666666,896.9291666666667,23.9,6.7
1947-03-16,15.420833333333334,7.9,57,0.0,39.416666666666664,0.5791666666666667,1.0416666666666667,898.1,23.9,6.8
1947-03-17,15.808333333333332,8.4,53,0.0,37.708333333333336,0.3333333333333333,3.0833333333333335,897.975,24.6,7.3
1947-03-18,15.229166666666666,10.1,55,0.2,38.208333333333336,-0.34166666666666673,56.041666666666664,895.9458333333333,24.8,7.2
1947-03-19,15.258333333333333,9.2,55,0.0,40.583333333333336,1.0291666666666666,9.833333333333334,896.725,24.1,7.1
1947-03-20,15.799999999999999,10.0,257,0.0,40.166666666666664,1.4625000000000001,4.25,898.3833333333333,24.3,8.3
1947-03-21,16.587500000000002,6.3,56,0.0,35.291666666666664,0.025000000000000012,0.375,899.2041666666668,25.2,8.5
1947-03-22,18.158333333333335,9.0,60,0.1,37.166666666666664,2.475,63.416666666666664,899.8416666666667,26.8,9.6
1947-03-23,18.845833333333335,11.2,52,1.3,39.416666666666664,3.75,21.291666666666668,897.6958333333333,27.2,13.1
1947-03-24,17.270833333333332,8.9,56,1.8,43.25,4.1625000000000005,25.875,896.6958333333333,23.3,11.8
1947-03-25,17.224999999999998,7.6,59,0.0,39.75,2.379166666666667,37.125,899.4458333333333,24.4,9.0
1947-03-26,18.825,9.0,47,0.0,31.25,0.725,34.875,899.4208333333332,26.1,12.5
1947-03-27,19.029166666666665,8.3,56,0.0,32.958333333333336,0.9,59.541666666666664,898.3708333333334,28.5,9.4
1947-03-28,21.825,12.9,51,0.0,31.166666666666668,3.0708333333333333,80.75,898.5541666666667,30.3,13.3
1947-03-29,20.729166666666668,19.5,54,0.30000000000000004,35.833333333333336,4.291666666666667,54.208333333333336,898.0958333333333,29.1,15.3
1947-03-30,16.2,11.9,52,6.9,57.958333333333336,7.320833333333333,47.125,898.725,23.9,12.0
1947-03-31,16.791666666666668,8.5,57,0.0,45.0,3.5124999999999997,0.5,897.8625000000001,25.1,9.4
1947-04-01,18.241666666666667,10.1,49,0.0,33.375,0.9833333333333333,0.125,895.9958333333334,26.6,10.2
1947-04-02,19.675,9.5,55,0.0,32.083333333333336,0.9375,0.0,898.0583333333334,29.2,10.4
1947-04-03,19.708333333333332,9.4,55,0.0,30.666666666666668,0.3083333333333333,0.125,896.2333333333332,28.8,10.7
1947-04-04,20.458333333333332,9.8,54,0.0,29.291666666666668,0.4291666666666667,2.7916666666666665,895.6208333333334,29.3,11.3
1947-04-05,20.5125,11.7,54,0.0,26.541666666666668,-1.05,2.9166666666666665,896.0875,28.9,11.1
1947-04-06,20.579166666666666,12.3,54,0.0,25.416666666666668,-1.2416666666666667,16.958333333333332,893.8000000000001,29.3,11.1
1947-04-07,20.787499999999998,10.5,54,0.5,27.5,0.19999999999999998,21.625,893.5041666666666,28.7,12.4
1947-04-08,21.133333333333333,10.5,45,0.0,26.916666666666668,0.16249999999999998,13.958333333333334,895.1916666666666,29.3,12.6
1947-04-09,21.462500000000002,11.3,53,0.0,26.583333333333332,-0.07083333333333332,10.583333333333334,896.9833333333332,29.6,12.3
1947-04-10,21.1375,10.9,48,0.0,24.583333333333332,-1.0166666666666666,8.291666666666666,895.8791666666666,29.3,12.2
1947-04-11,21.191666666666666,10.3,54,0.0,23.833333333333332,-2.2624999999999997,0.9583333333333334,894.3291666666668,30.3,11.7
1947-04-12,21.662499999999998,10.4,55,0.0,23.541666666666668,-2.0791666666666666,13.541666666666666,894.7375000000001,31.8,11.1
1947-04-13,22.295833333333334,11.6,52,0.2,22.75,-1.3708333333333333,20.625,897.3000000000001,31.3,13.3
1947-04-14,22.804166666666664,10.9,55,0.0,21.291666666666668,-2.6083333333333334,1.8333333333333333,898.6958333333333,32.1,13.3
1947-04-15,22.625,10.8,52,0.0,20.833333333333332,-2.8041666666666667,2.125,896.9,31.7,13.0
1947-04-16,23.1125,10.0,52,0.0,21.833333333333332,-1.8958333333333333,1.0,894.0875,32.5,12.3
1947-04-17,24.22083333333333,10.5,270,0.0,17.875,-3.391666666666666,0.4166666666666667,893.4083333333333,34.0,14.0
1947-04-18,24.854166666666668,10.7,56,0.0,19.625,-1.9000000000000001,7.333333333333333,894.2291666666666,34.4,14.2
1947-04-19,24.837500000000002,9.7,59,0.0,21.125,-0.17500000000000002,11.0,893.6291666666666,33.6,14.5
1947-04-20,25.758333333333336,16.7,56,0.8,24.875,3.625,44.583333333333336,894.7125,34.0,19.2
1947-04-21,25.6375,11.3,60,0.0,27.041666666666668,3.6374999999999997,26.416666666666668,892.2833333333333,33.9,18.6
1947-04-22,24.8875,9.5,57,0.0,25.083333333333332,1.5791666666666666,0.20833333333333334,890.8958333333334,34.3,15.5
1947-04-23,24.945833333333336,9.3,52,0.0,22.041666666666668,0.06249999999999998,0.125,889.7666666666668,34.1,15.9
1947-04-24,24.545833333333334,10.5,57,0.0,19.333333333333332,-2.6666666666666665,0.08333333333333333,889.9541666666668,34.0,15.2
1947-04-25,24.420833333333334,11.3,54,0.0,17.291666666666668,-4.1625,0.4583333333333333,891.8249999999999,33.7,14.3
1947-04-26,23.65833333333333,9.7,55,0.0,16.583333333333332,-5.3,11.416666666666666,891.8249999999999,32.8,14.3
1947-04-27,23.308333333333334,20.6,59,0.0,15.541666666666666,-6.208333333333333,43.75,892.8791666666666,32.1,14.0
1947-04-28,20.583333333333332,17.4,52,1.2,29.791666666666668,1.4958333333333333,47.25,894.625,28.0,15.7
1947-04-29,21.2,10.1,56,0.0,26.083333333333332,-0.6208333333333333,6.791666666666667,896.6333333333333,29.2,12.1
1947-04-30,24.21666666666667,11.2,51,0.0,20.0,-1.2541666666666667,58.458333333333336,896.6333333333333,32.3,14.4
1947-05-01,24.5,15.0,53,0.1,26.125,3.1625,95.79166666666667,897.7083333333334,29.9,19.4
1947-05-02,23.941666666666666,14.6,51,0.7000000000000001,36.75,7.620833333333334,95.66666666666667,897.7708333333334,31.2,19.3
1947-05-03,22.308333333333334,11.6,54,2.5,46.166666666666664,9.216666666666667,80.58333333333333,895.6625,30.2,17.2
1947-05-04,21.650000000000002,9.4,50,0.2,41.583333333333336,6.4624999999999995,50.916666666666664,896.3625000000001,29.7,15.5
1947-05-05,19.5125,9.8,49,1.9000000000000001,45.333333333333336,6.9875,48.75,897.4458333333333,26.8,15.9
1947-05-06,21.037499999999998,9.0,58,0.1,35.083333333333336,3.3666666666666667,5.75,897.8625000000001,29.4,12.9
1947-05-07,22.349999999999998,10.7,54,0.0,29.666666666666668,1.9375,7.375,899.0166666666668,30.9,13.1
1947-05-08,23.875,10.9,55,0.0,22.041666666666668,-0.3125,31.833333333333332,897.8916666666668,31.9,14.8
